text,target_level,quality
Menghapus rasa benci sepenuhnya dan ganti jadi rasa sayang sesama teman,Enemy,Featured
asdfghjkl,Junk,Standard
tes 123,Junk,Standard
p,Junk,Standard
y,Junk,Standard
gatau,Junk,Standard
wkwkwkwk,Junk,Standard
gabut banget,Junk,Standard
halo,Junk,Standard
...,Junk,Standard
hmmmm,Junk,Standard
gak ada ide,Junk,Standard
males ngetik,Junk,Standard
coba doang,Junk,Standard
random,Junk,Standard
akwoakwoak,Junk,Standard
zzzzzz,Junk,Standard
!@#$%^&*,Junk,Standard
info mabar,Junk,Standard
follow ig gw ya,Junk,Standard
jual akun ml murah,Junk,Standard
promo joki tugas,Junk,Standard
subscribe channel ku,Junk,Standard
spam spam spam,Junk,Standard
bodo amat,Junk,Standard
gak jelas lu,Junk,Standard
anjir,Junk,Standard
bego,Junk,Standard
tolol,Junk,Standard
bacot,Junk,Standard
anjing,Junk,Standard
bangsat,Junk,Standard
tai,Junk,Standard
mampus lu,Junk,Standard
dasar lemah,Junk,Standard
jelek banget muka lu,Junk,Standard
gak guna,Junk,Standard
cupu,Junk,Standard
alay,Junk,Standard
norak,Junk,Standard
kampungan,Junk,Standard
sok asik,Junk,Standard
sok pinter,Junk,Standard
woi minggir,Junk,Standard
awas lu ya,Junk,Standard
gw tunggu di gerbang,Junk,Standard
ribut sini,Junk,Standard
gelut yuk,Junk,Standard
nyontek pas ulangan,Junk,Standard
bolos sekolah,Junk,Standard
cabut ke warnet,Junk,Standard
ngerokok di wc sekolah,Junk,Standard
maling pulpen temen,Junk,Standard
bohongin guru,Junk,Standard
mecahin kaca jendela,Junk,Standard
coret-coret meja,Junk,Standard
buang sampah sembarangan,Junk,Standard
nendang kucing,Junk,Standard
ngerusak tanaman sekolah,Junk,Standard
nyembunyiin sepatu temen,Junk,Standard
ngambil uang kas kelas,Junk,Standard
nipu temen,Junk,Standard
fitnah orang,Junk,Standard
ngomongin orang di belakang,Junk,Standard
gibah dosa,Junk,Standard
tidur pas pelajaran,Junk,Standard
main hp pas diterangin guru,Junk,Standard
ngelawan ortu,Junk,Standard
ngebentak guru,Junk,Standard
gak ngerjain pr,Junk,Standard
lupa bawa buku,Junk,Standard
telat sekolah,Junk,Standard
gak pake dasi,Junk,Standard
sepatu warna warni,Junk,Standard
rambut gondrong,Junk,Standard
baju dikeluarin,Junk,Standard
kaos kaki pendek,Junk,Standard
gak bawa topi upacara,Junk,Standard
makan,Junk,Standard
minum,Junk,Standard
tidur,Junk,Standard
main,Junk,Standard
jalan,Junk,Standard
lari,Junk,Standard
duduk,Junk,Standard
berdiri,Junk,Standard
nafas,Junk,Standard
liat,Junk,Standard
denger,Junk,Standard
senyum doang,Junk,Standard
ketawa,Junk,Standard
nangis,Junk,Standard
marah,Junk,Standard
bete,Junk,Standard
capek,Junk,Standard
laper,Junk,Standard
haus,Junk,Standard
ngantuk,Junk,Standard
pusing,Junk,Standard
Nonton tutorial masak di youtube buat praktek sendiri,Self,Standard
Menonton film dokumenter sejarah biar nambah wawasan,Self,Standard
Siram tanaman kaktus di kamar biar seger,Self,Standard
Menyiram bunga di halaman pagi-pagi hitung-hitung olahraga,Self,Standard
Scroll pinterest cari inspirasi outfit besok,Self,Standard
Dengerin podcast horror pas lagi ngerjain tugas,Self,Standard
Bikin playlist lagu galau buat nemenin tidur,Self,Standard
Hapus file sampah di hp biar memori lega,Self,Standard
Unfollow akun gosip yang bikin mood jelek,Self,Standard
Ganti wallpaper hp jadi gambar motivasi,Self,Standard
Pake sunscreen sebelum keluar rumah biar gak belang,Self,Standard
Reapply sunscreen tiap 3 jam sekali,Self,Standard
Pake lipbalm biar bibir gak kering pecah-pecah,Self,Standard
Maskeran pake bahan alami buatan sendiri,Self,Standard
Minum infused water lemon biar sehat,Self,Standard
Bikin kopi susu sendiri ala cafe hemat budget,Self,Standard
Makan oatmeal buat sarapan pengganti nasi uduk,Self,Standard
Kurangin gula hari ini gak beli minuman manis,Self,Standard
Stretching badan bentar abis duduk lama main game,Self,Standard
Jalan kaki 10 ribu langkah hari ini,Self,Standard
Ngerapihin kabel charger yang kusut di meja,Self,Standard
Lap layar laptop yang udah berdebu,Self,Standard
Bersihin casing hp pake tisu basah,Self,Standard
Nata ulang icon aplikasi di hp biar estetik,Self,Standard
Hapus email spam yang numpuk di inbox,Self,Standard
Matikan notifikasi hp pas lagi butuh fokus,Self,Standard
Mode pesawat pas tidur biar gak keganggu,Self,Standard
Charge hp sampe penuh sebelum dipake pergi,Self,Standard
Beli kuota pas ada promo biar irit uang jajan,Self,Standard
Update aplikasi di hp biar gak lemot,Self,Standard
Nonton review gadget sebelum mutusin beli,Self,Standard
Cari tutorial editing video capcut di tiktok,Self,Standard
Belajar dance kpop dari youtube sendirian di kamar,Self,Standard
Nyobain filter instagram baru yang lucu,Self,Standard
Foto ootd di cermin buat kenang-kenangan sendiri,Self,Standard
Arsipin foto mantan di ig biar move on,Self,Standard
Ganti bio instagram jadi lebih simple,Self,Standard
Bikin highlight story momen liburan kemaren,Self,Standard
Nonton live streamer game favorit bentar,Self,Standard
Checkout barang wishlist shopee pas tanggal kembar,Self,Standard
Bandingin harga barang di tokped sama shopee biar hemat,Self,Standard
Baca thread horor di twitter pas gabut,Self,Standard
Nulis tweet sambat di akun second biar lega,Self,Standard
Dengerin asmr hujan biar cepet tidur,Self,Standard
Nonton mukbang pas lagi gak nafsu makan,Self,Standard
Mandi pake sabun wangi aromaterapi,Self,Standard
Keramas pake hairmask biar rambut lembut,Self,Standard
Potong poni sendiri modal tutorial youtube,Self,Standard
Eksfoliasi wajah biar komedo ilang,Self,Standard
Pake body lotion sebelum tidur di ruangan ber-AC,Self,Standard
Digital detox 2 jam tanpa pegang hp sama sekali,Self,Exceptional
Workout 15 menit ngikutin video chloe ting,Self,Exceptional
Meditasi pagi 5 menit pake aplikasi headspace,Self,Exceptional
Baca buku self-improvement atomic habits 10 halaman,Self,Exceptional
Belajar bahasa korea dasar di duolingo rutin tiap hari,Self,Exceptional
Nyatet pengeluaran harian di aplikasi keuangan,Self,Exceptional
Bikin meal plan sehat buat seminggu ke depan,Self,Exceptional
Declutter lemari baju sumbangin yang gak kepake,Self,Exceptional
Bersihin makeup tools kuas dan spons biar higienis,Self,Exceptional
Ganti password sosmed secara berkala biar aman,Self,Exceptional
Latihan public speaking depan cermin biar makin pede,Self,Exceptional
Belajar skill baru desain grafis pake canva,Self,Exceptional
Nulis jurnal mimpi pas bangun tidur,Self,Exceptional
Solat tepat waktu gak ditunda-tunda,Self,Exceptional
Puasa senin kamis buat kesehatan badan dan rohani,Self,Exceptional
Jogging sore keliling komplek sambil denger lagu,Self,Exceptional
Renang seminggu sekali buat nambah tinggi badan,Self,Exceptional
Makan buah potong daripada jajan ciki,Self,Exceptional
Bawa botol minum sendiri (tumbler) kemana-mana,Self,Exceptional
Jalan kaki ke sekolah hitung-hitung cardio,Self,Exceptional
Nabung target 500rb buat beli skincare impian,Self,Exceptional
Ngerjain pr jauh hari biar gak sistem kebut semalam,Self,Exceptional
Review materi les biar gak lupa,Self,Exceptional
Latihan soal utbk satu paket walau masih kelas 10,Self,Exceptional
Ikut webinar gratis buat nambah sertifikat,Self,Exceptional
Validasi perasaan diri sendiri kalau lagi sedih itu wajar,Self,Featured
Berhenti ngebandingin progress diri sama pencapaian orang lain di sosmed,Self,Featured
Berani bilang tidak ke ajakan teman yang boros,Self,Featured
Cut off hubungan sama orang yang bawa pengaruh buruk (toxic),Self,Featured
Maafin diri sendiri karena hari ini kurang produktif,Self,Featured
Ngomong hal positif ke diri sendiri (positive self-talk) pas lagi gagal,Self,Featured
Nulis gratitude journal: 3 hal kecil yang disyukuri hari ini,Self,Featured
Me time berkualitas: pergi ke museum atau perpus sendirian,Self,Featured
Belajar mencintai kekurangan fisik diri sendiri (body positivity),Self,Featured
Berani tampil tanpa filter kamera yang berlebihan,Self,Featured
Istirahat total tanpa ngerasa bersalah (guilty feeling),Self,Featured
Ngerayain pencapaian kecil kayak berhasil bangun pagi,Self,Featured
Fokus ke hal yang bisa dikontrol daripada overthinking masa depan,Self,Featured
Ngapresiasi usaha diri sendiri walau hasilnya belum sempurna,Self,Featured
Menjaga privasi diri dengan gak umbar masalah pribadi di story,Self,Featured
Berani minta bantuan profesional (psikolog) kalau mental lagi gak baik,Self,Featured
Menyaring konten sosmed yang dikonsumsi biar otak tetap waras,Self,Featured
Punya prinsip hidup sendiri gak cuma ikut-ikutan tren viral,Self,Featured
Investasi leher ke atas (beli buku/kursus) pake uang tabungan sendiri,Self,Featured
Konsisten ngejar mimpi walau diketawain orang lain,Self,Featured
Berani ambil risiko ikut lomba walau takut kalah,Self,Featured
Jujur sama diri sendiri tentang apa yang sebenernya dimau,Self,Featured
Menghargai proses belajar daripada hasil instan,Self,Featured
Menjaga lisan dan komentar di internet biar gak nyakitin orang (digital ethics),Self,Featured
Bersyukur masih dikasih napas dan kesehatan hari ini,Self,Featured
Ngasih love di story instagram bestie biar dia seneng,Friend,Standard
Reply story close friend dia pake kata-kata support,Friend,Standard
Ngetag temen di giveaway biar menang bareng,Friend,Standard
Bantuin temen take video tiktok buat tugas sekolah,Friend,Standard
Komen 'menyala abangku' di postingan prestasi temen,Friend,Standard
Like postingan jualan temen biar engagement naik,Friend,Standard
Share info lomba e-sport ke grup mabar,Friend,Standard
Ngasih hotspot ke temen yang kehabisan kuota pas urgent,Friend,Standard
Pinjemin powerbank ke temen yang hp-nya lowbat parah,Friend,Standard
Nungguin temen bales chat tanpa spam 'p',Friend,Standard
Gak cepu soal rahasia temen di second account,Friend,Standard
Nemenin temen live ig biar ada yang nonton,Friend,Standard
Bantuin voting temen yang ikut lomba foto like terbanyak,Friend,Standard
Ngasih tau wifi password sekolah ke temen baru,Friend,Standard
Join discord temen buat nemenin dia gabut,Friend,Standard
Mabar mobile legends rank bareng sampe menang,Friend,Standard
Ngasih item ingame gratis ke temen (gift skin),Friend,Standard
Nungguin temen login game sabar gak ninggalin,Friend,Standard
Revive temen yang knock pas main pubg,Friend,Standard
Cover in temen pas lagi war di game biar gak mati,Friend,Standard
Gak toxic ke temen pas dia mainnya noob/lag,Friend,Standard
Ngasih saran build item hero biar temen makin jago,Friend,Standard
Ngasih tau lokasi musuh (info) pas main bareng,Friend,Standard
Share link zoom meeting ke temen yang ketinggalan info,Friend,Standard
Screenshot jadwal pelajaran kirim ke temen yang lupa,Friend,Standard
Ingetin temen buat presensi online biar gak alpa,Friend,Standard
Bantuin temen cari filter ig yang bagus,Friend,Standard
Ngajak temen bikin spotify blend biar seru,Friend,Standard
Nonton bareng (nobar) film via teleparty/discord,Friend,Standard
Checkout-in barang temen pake akun prime biar bebas ongkir,Friend,Standard
Bantuin temen milih outfit buat first date,Friend,Standard
Puji outfit temen hari ini 'kece parah',Friend,Standard
Gak ngetawain temen yang salah kirim stiker di grup,Friend,Standard
Bantuin temen unboxing paket yang baru dateng,Friend,Standard
Ngasih tau ada diskon flash sale makanan ke grup,Friend,Standard
Pesenin ojol buat temen yang gak ada aplikasi,Friend,Standard
Share loc posisi kita biar temen gak nyasar,Friend,Standard
Ngasih tau review jujur soal skincare biar temen gak boncos,Friend,Standard
Pinjemin akun netflix bentar buat temen nonton,Friend,Standard
Bantuin temen ngedit foto pake lightroom biar aesthetic,Friend,Standard
Video call nemenin temen yang lagi isolasi mandiri/sakit,Friend,Standard
Sleepcall nemenin temen yang takut tidur sendirian,Friend,Standard
Dengerin voice note curhat temen durasi 5 menit full,Friend,Standard
Gercep bales chat temen yang lagi butuh bantuan,Friend,Standard
Gak ghosting temen pas lagi janjian main,Friend,Standard
Ngasih tau temen kalau mic zoom-nya bocor pas kelas,Friend,Standard
Record materi kelas online buat temen yang sinyalnya jelek,Friend,Standard
Bantuin temen bikin caption ig yang keren,Friend,Standard
Gak posting foto aib temen tanpa izin (consent),Friend,Standard
Hapus foto yang ada temennya kalau dia minta hapus,Friend,Standard
Nemenin bestie nangis seharian gara-gara diputusin pacar,Friend,Exceptional
Bikinin playlist lagu galau buat temen biar lega,Friend,Exceptional
Nemenin temen cari kado buat ortunya muter-muter mall,Friend,Exceptional
Bantuin temen ngerjain tugas video editing sampe begadang,Friend,Exceptional
Ngajarin materi coding python ke temen yang gaptek,Friend,Exceptional
Jadi admin grup kelas yang rajin share info valid,Friend,Exceptional
Ngedit desain poster kelompok sendirian biar temen lain bisa istirahat,Friend,Exceptional
Ngasih surprise box isi jajan pas temen ulang tahun,Friend,Exceptional
Bayarin temen nonton bioskop pas dia lagi bokek,Friend,Exceptional
Nganterin temen pulang malem karena gak dapet ojol,Friend,Exceptional
Bantuin temen pindahan kosan/beres-beres kamar,Friend,Exceptional
Masakin bekal estetik buat dimakan bareng temen di sekolah,Friend,Exceptional
Nemenin temen casting/audisi biar dia gak gugup,Friend,Exceptional
Bantuin temen jualan risol di sekolah biar laris,Friend,Exceptional
Promosiin dagangan temen di story ig sendiri secara sukarela,Friend,Exceptional
Bantuin temen nyari kucingnya yang ilang seharian,Friend,Exceptional
Ngasih contekan rangkuman materi buatan sendiri (bukan jawaban ujian),Friend,Exceptional
Jelasin ulang penjelasan guru yang ribet pake bahasa santai,Friend,Exceptional
Nemenin temen ke uks dan nungguin sampe dijemput,Friend,Exceptional
Bantuin temen pasang senar gitar/alat musik,Friend,Exceptional
Jadi fotografer dadakan buat temen sampe dapet angle bagus,Friend,Exceptional
Sabar ngajarin temen main game dari nol sampe bisa,Friend,Exceptional
Patungan beli akun premium biar lebih hemat bareng temen,Friend,Exceptional
Ngasih pinjem laptop ke temen buat ngerjain tugas akhir,Friend,Exceptional
Nyemangatin temen yang gagal sbmptn/utbk biar bangkit lagi,Friend,Exceptional
Jadi support system pas temen lagi kena mental breakdown,Friend,Featured
Validasi perasaan temen tanpa nge-judge "ah gitu doang lemah",Friend,Featured
Berani speak up belain temen yang di-bully di media sosial (cyberbullying),Friend,Featured
Nemenin temen ke psikolog/konselor buat konsultasi masalah mental,Friend,Featured
Gak ninggalin temen pas dia lagi di cancel satu sekolah (cancel culture),Friend,Featured
Jujur negur temen yang mulai toxic atau red flag demi kebaikan dia,Friend,Featured
Meluk temen (virtual/langsung) yang lagi panic attack,Friend,Featured
Ngajak temen healing ke alam pas dia stress berat,Friend,Featured
Bantuin temen laporin akun fake yang nyebar fitnah tentang dia,Friend,Featured
Rahasiain aib keluarga temen rapat-rapat (trustworthy),Friend,Featured
Memaafkan temen yang udah backstabber (tusuk belakang) dan kasih kesempatan,Friend,Featured
Ngumpulin donasi dari circle buat bantu ortu temen yang sakit keras,Friend,Featured
Rela cuti/bolos les demi nemenin temen yang lagi berduka,Friend,Featured
Ngasih pinjem uang tabungan sendiri buat temen yang butuh darurat,Friend,Featured
Bantuin temen keluar dari toxic relationship sama pacarnya,Friend,Featured
Ngeyakinin temen yang insecure parah kalau dia itu berharga (worth it),Friend,Featured
Hapus jejak digital buruk temen di masa lalu,Friend,Featured
Berhenti temenan sama orang yang jahatin bestie kita (solidaritas),Friend,Featured
Ngasih kado tiket konser idola temen dari uang tabungan sendiri,Friend,Featured
Jadi pendengar setia pas temen coming out atau cerita rahasia besar,Friend,Featured
Tetap temenan sama dia walau status sosial/ekonomi kita beda jauh,Friend,Featured
Ngasih tumpangan tinggal di rumah pas temen kabur dari rumah karena KDRT,Friend,Featured
Bantuin temen difabel akses fasilitas umum yang gak ramah,Friend,Featured
Belajar bahasa isyarat demi bisa ngobrol deep sama temen tuli,Friend,Featured
Selalu ada buat temen bukan cuma pas seneng tapi pas susah juga (real ones),Friend,Featured
Minjemin tipe-x ke Rizky pas ujian,Friend,Standard
Nungguin Alya di depan gerbang sekolah,Friend,Standard
Bagi bekal nasi goreng ke Dimas,Friend,Standard
Ngasih tau halaman tugas ke Kevin lewat chat,Friend,Standard
Nemenin Sarah ke toilet bentar,Friend,Standard
Like postingan foto liburan Jessica,Friend,Standard
Bantuin Fauzan hapus papan tulis,Friend,Standard
Ucapin hbd ke Nanda pas jam 12 malem,Friend,Standard
Minjemin pulpen ke Bayu yang lupa bawa,Friend,Standard
Nanyain kabar Tiara yang gak masuk sekolah,Friend,Standard
Ngasih tau Fajar kalau ada pr matematika,Friend,Standard
Ngebangunin Gilang yang ketiduran di kelas,Friend,Standard
Bawain tas Dinda yang lagi sakit perut,Friend,Standard
Traktir Ilham minum es teh di kantin,Friend,Standard
Ngajak Kenzo ngobrol biar gak sendirian,Friend,Standard
Minjemin catatan sejarah ke Putri buat difotokopi,Friend,Standard
Ngetag Bagas di meme lucu instagram,Friend,Standard
Bantuin Wahyu nyari topinya yang ilang,Friend,Standard
Gak ninggalin Aditya sendirian pas kerja kelompok,Friend,Standard
Ngasih semangat ke Rara yang mau remed,Friend,Standard
Bagi hotspot ke Zayyan buat submit tugas,Friend,Standard
Jaga rahasia Azka soal gebetannya,Friend,Standard
Dengerin cerita Mikayla soal kucingnya,Friend,Standard
Bantuin Arsy beresin buku ke dalem tas,Friend,Standard
Gak ngetawain Gibran pas salah jawab pertanyaan,Friend,Standard
Muji presentasi Bilqis di depan kelas,Friend,Standard
Ingetin Rafli buat balikin buku perpus,Friend,Standard
Nebengin Sinta sampe depan gang rumah,Friend,Standard
Ngambilin sendok buat Budi pas makan bareng,Friend,Standard
Minjemin jaket ke Ani yang kedinginan,Friend,Standard
Bantuin Eko ngiket tali sepatunya,Friend,Standard
Ngasih tau Zahra ada kotoran di bajunya,Friend,Standard
Bantuin Michelle milih baju buat pensi,Friend,Standard
Nemenin Jason nunggu jemputan grab,Friend,Standard
Bagi permen ke Keanu yang ngantuk,Friend,Standard
Nyisihin tempat duduk buat Naura di kantin,Friend,Standard
Bales chat Rasya cepet pas dia butuh info,Friend,Standard
Gak spoiler film ke Amel yang belum nonton,Friend,Standard
Ngajak Rayyan main game bareng pas weekend,Friend,Standard
Nemenin Kenzie ke koperasi beli dasi,Friend,Standard
Bantuin Shakeela masang poster mading,Friend,Standard
Ngasih tau jawaban soal ke Alther (diskusi),Friend,Standard
Ingetin Umar jangan lupa sholat jumat,Friend,Standard
Muji sepatu baru Juna biar dia seneng,Friend,Standard
Bantuin Arkana bawa tumpukan buku paket,Friend,Standard
Gak posting aib Kayla di status wa,Friend,Standard
Ngajak Syifa latihan drama sepulang sekolah,Friend,Standard
Minta maaf duluan ke Akbar kalau salah,Friend,Standard
Ngasih kado coklat ke Vina pas ultah,Friend,Standard
Senyum dan nyapa Rio pas papasan,Friend,Standard
Nemenin Aqila jajan cilok depan sekolah,Friend,Standard
Bantuin Farhan nyari kelompok tugas,Friend,Standard
Minjemin penggaris ke Indah pas pelajaran mtk,Friend,Standard
Nungguin Yoga selesai piket biar pulang bareng,Friend,Standard
Ngasih tisu ke Laras yang lagi flu,Friend,Standard
Bagi air minum ke Reza yang kehausan abis olahraga,Friend,Standard
Ngasih tau Caca kalau rambutnya berantakan,Friend,Standard
Bantuin Aldo angkat meja guru,Friend,Standard
Ngajak Vino ke masjid bareng,Friend,Standard
Minjemin topi ke Rini pas upacara,Friend,Standard
Nemenin Davin ambil motor di parkiran,Friend,Standard
Bantuin Sherly ngerjain dekorasi kelas,Friend,Standard
Ngasih tau Doni kalau resleting tasnya kebuka,Friend,Standard
Bagi info lowongan magang ke Eka,Friend,Standard
Nemenin Fiki beli kado buat ibunya,Friend,Standard
Bantuin Gina nyari antingnya yang jatuh,Friend,Standard
Ngajak Haikal gabung main bola,Friend,Standard
Minjemin payung ke Intan pas hujan deres,Friend,Standard
Ngasih tau Joko kalau ada guru killer,Friend,Standard
Bantuin Kiki bawa perlengkapan pramuka,Friend,Standard
Nemenin Lukman ke ruang guru,Friend,Standard
Bagi camilan ke Maya pas jam kosong,Friend,Standard
Ngasih tau Niki info remedial lewat wa,Friend,Standard
Bantuin Oki ngerapihin meja kelas,Friend,Standard
Ngajak Pandu main basket sore,Friend,Standard
Minjemin charger hp ke Qila,Friend,Standard
Nemenin Raka nambal ban motor bocor,Friend,Standard
Bantuin Salsa bikin video tiktok kelas,Friend,Standard
Ngasih tau Tio jadwal ulangan harian,Friend,Standard
Bantuin Ubay nyari kunci motor yang ilang,Friend,Standard
Ngajak Vanya makan bakso bareng,Friend,Standard
Minjemin buku paket ke Wulan yang ketinggalan,Friend,Standard
Ngasih tau Xavi kalau tali sepatunya lepas,Friend,Standard
Bantuin Yola bawa kerdus air mineral,Friend,Standard
Nemenin Zaki ke uks minta obat pusing,Friend,Standard
Bagi masker cadangan ke Arya,Friend,Standard
Ngasih tau Bella kalau ada pr fisika,Friend,Standard
Bantuin Chandra pasang spanduk acara,Friend,Standard
Ngajak Dafa sholat ashar berjamaah,Friend,Standard
Minjemin uang receh ke Elina buat bayar parkir,Friend,Standard
Nemenin Farel nungguin ojol dateng,Friend,Standard
Bantuin Galih bersihin tumpahan minuman,Friend,Standard
Ngajak Hana ke perpus pas istirahat,Friend,Standard
Minjemin earphone ke Iqbal bentar,Friend,Standard
Ngasih tau Jojo kalau dipanggil guru bk,Friend,Standard
Bantuin Karin bawa barang prakarya,Friend,Standard
Nemenin Leo beli pulsa di konter depan,Friend,Standard
Bagi jawaban teka-teki silang ke Mita,Friend,Standard
Ngajak Naufal main futsal hari minggu,Friend,Standard
Minjemin powerbank ke Olive yang lowbat,Friend,Standard
Bilang terima kasih ke abang kurir yang anter paket,Stranger,Standard
Kasih bintang 5 dan ulasan bagus buat driver ojol,Stranger,Standard
Ngasih tip lebih ke driver ojol pas hujan,Stranger,Standard
Bales chat admin olshop dengan bahasa sopan,Stranger,Standard
Senyum ke kasir minimarket pas bayar belanjaan,Stranger,Standard
Antri dengan tertib di belakang orang lain pas scan barcode pedulilindungi,Stranger,Standard
Geser duduk di KRL biar penumpang lain bisa duduk,Stranger,Standard
Ngasih jalan buat orang yang mau keluar lift duluan,Stranger,Standard
Gak nyerobot antrian toilet umum di mall,Stranger,Standard
Mungut sampah botol orang lain yang gelinding di bioskop,Stranger,Standard
Nahan pintu minimarket buat orang asing di belakang,Stranger,Standard
Tegur sapa 'permisi' pas lewat depan orang tua di jalan,Stranger,Standard
Gak natap sinis ke orang yang penampilannya beda (goth/wibu),Stranger,Standard
Bantu pencet tombol lift buat orang yang bawa banyak barang,Stranger,Standard
Ngasih tau orang asing kalau tali sepatunya lepas,Stranger,Standard
Gak ngetawain orang yang kepeleset di tempat umum,Stranger,Standard
Matikan flash hp pas rekam video di bioskop biar gak ganggu orang,Stranger,Standard
Kecilin volume hp pas nonton tiktok di ruang tunggu umum,Stranger,Standard
Gak ngerokok di deket orang yang lagi makan di warung,Stranger,Standard
Bersihin meja cafe fast food abis makan sendiri (self service),Stranger,Standard
Balikin troli belanja ke tempatnya biar gak ngeribetin petugas,Stranger,Standard
Gak main hp sambil jalan biar gak nabrak orang lain,Stranger,Standard
Bantu orang asing fotoin mereka pas lagi liburan (dimintain tolong),Stranger,Standard
Jawab sopan pas ditanya arah jalan sama orang nyasar,Stranger,Standard
Gak buang struk belanja sembarangan di depan kasir,Stranger,Standard
Sabar nunggu orang lain selesai pake mesin atm,Stranger,Standard
Minggirin motor yang ngalangin jalan di parkiran umum,Stranger,Standard
Gak klakson-klakson orang yang lagi nyebrang jalan,Stranger,Standard
Bantu pegangin pintu toilet buat anak kecil yang mau masuk,Stranger,Standard
Bilang 'maaf' duluan pas gak sengaja nyenggol orang di keramaian,Stranger,Standard
Gak nge-judge selera musik orang lain yang kedengeran bocor dari headset,Stranger,Standard
Bantu ambilin barang di rak tinggi buat orang pendek di supermarket,Stranger,Standard
Ngasih tau pengendara lain kalau lampu sen motornya lupa dimatiin,Stranger,Standard
Tutup mulut pas batuk di tempat umum biar gak nularin virus,Stranger,Standard
Pake masker pas lagi flu di kendaraan umum,Stranger,Standard
Gak taro tas di kursi kosong busway pas lagi rame,Stranger,Standard
Ngasih tau orang kalau standar motornya belum dinaikin,Stranger,Standard
Sopan nolak tawaran sales di mall tanpa bentak,Stranger,Standard
Hargai karya konten kreator random lewat like (bukan temen),Stranger,Standard
Gak spam komen promosi di postingan artis/orang asing,Stranger,Standard
Report akun bot/spam yang ganggu kenyamanan di sosmed,Stranger,Standard
Gak kirim pesan aneh (DM) ke orang yang gak dikenal,Stranger,Standard
Komen positif 'keren kak' di video fyp orang asing,Stranger,Standard
Bantu jawab pertanyaan orang di kolom komentar tiktok (tutorial),Stranger,Standard
Gak toxic ke random player pas main game online (pub match),Stranger,Standard
Kasih 'GG' (Good Game) ke lawan main di game walau gak kenal,Stranger,Standard
Ngasih like ke review orang yang ngebantu banget di shopee/gmaps,Stranger,Standard
Gak nyebar nomor hp orang asing sembarangan di grup,Stranger,Standard
Hargai privasi orang lain dengan gak rekam muka mereka diem-diem,Stranger,Standard
Bantu report komentar hate speech di akun orang lain,Stranger,Standard
Ngasih uang parkir lebih ke tukang parkir tua,Stranger,Exceptional
Bantu nyebrangin anak kecil atau lansia di jalan raya,Stranger,Exceptional
Beli dagangan pedagang kaki lima yang sepi pembeli (larisin),Stranger,Exceptional
Ngasih minum ke kurir paket yang nganter pas panas terik,Stranger,Exceptional
Bantuin ibu-ibu angkat barang belanjaan berat ke motornya,Stranger,Exceptional
Ngasih tau kasir kalau kembaliannya kelebihan (jujur),Stranger,Exceptional
Minjemin helm cadangan ke orang yang nebeng jarak dekat,Stranger,Exceptional
Bantu dorong motor orang asing yang mogok di jalan,Stranger,Exceptional
Nunjukin jalan ke turis asing pake bahasa inggris sebisanya,Stranger,Exceptional
Ngasih tisu ke orang asing yang lagi nangis sendirian di taman,Stranger,Exceptional
Bantu carikan kucing orang hilang yang infonya lewat di timeline,Stranger,Exceptional
Share info orang hilang di story buat bantu jangkauan luas,Stranger,Exceptional
Bantu report akun penipuan online biar gak ada korban lain,Stranger,Exceptional
Kasih tutorial/tips bermanfaat di forum komunitas (brainly/reddit) buat orang lain,Stranger,Exceptional
Donasi baju layak pakai ke posko bencana buat pengungsi,Stranger,Exceptional
Bantu share link donasi (kitabisa) buat orang yang butuh biaya berobat,Stranger,Exceptional
Ngasih makan kucing jalanan (stray cat) yang kelaperan,Junk,Standard
Bantu bersihin sisa makanan orang lain yang tumpah di lantai foodcourt,Stranger,Exceptional
Tegur sopan orang yang buang sampah sembarangan di depan mata,Stranger,Exceptional
Bantu adik kelas (gak kenal) yang bingung cari ruang ujian,Stranger,Exceptional
Pinjemin pulpen ke peserta ujian lain yang kehabisan tinta,Stranger,Exceptional
Ngasih tau orang kalau tasnya kebuka (biar gak dicopet),Stranger,Exceptional
Bantu nenangin anak orang lain yang nangis histeris pas ortunya sibuk,Stranger,Exceptional
Bantu carikan tempat duduk buat ibu hamil di foodcourt yang penuh,Stranger,Exceptional
Ngasih info loker valid ke orang yang lagi butuh kerja di medsos,Stranger,Exceptional
Beli tisu/koran dari penjual anak kecil di lampu merah,Stranger,Featured
Bayarin angkot anak sekolah yang kelihatan bingung gak bawa uang,Stranger,Featured
Kembalikan dompet/hp yang ditemuin di jalan ke pos polisi/satpam,Stranger,Featured
Bantu korban kecelakaan lalu lintas nelpon keluarganya,Stranger,Featured
Berani laporin tindakan pelecehan seksual di transportasi umum,Stranger,Featured
Bantu rekam bukti kejadian kriminal buat bantu korban (stranger),Stranger,Featured
Misahin orang asing yang lagi berantem fisik di jalan,Stranger,Featured
Ngasih tumpangan payung ke orang asing pas hujan badai,Stranger,Featured
Bantu dorong kursi roda penyandang disabilitas di tanjakan,Stranger,Featured
Donor darah sukarela buat stok PMI (bukan buat saudara/teman),Stranger,Featured
Jadi relawan turun ke jalan pas ada bencana alam,Stranger,Featured
Ngumpulin sampah plastik di pantai/gunung punya pengunjung lain,Stranger,Featured
Bela orang asing yang lagi di-bully rame-rame di kolom komentar (cyberbullying),Stranger,Featured
